"Task ID","Title","Description","Workstream","Week/Sprint","Priority","Status","Assignee","Estimated Effort (days)","Dependencies","Notes"
"BE-001","Cloud Backend: Database schema design","Design PostgreSQL schema (locations, gates, configs, sessions, transactions, users, roles)","Backend","Week 1","P0","Backlog","","","",""
"BE-002","Cloud Backend: Database migrations","Create migration files for all tables","Backend","Week 1","P0","Backlog","","","BE-001",""
"BE-003","Cloud Backend: Project structure setup","Setup Go project (cmd/api, internal/domain, internal/store, internal/middleware)","Backend","Week 1","P0","Backlog","","","",""
"BE-004","Cloud Backend: Router setup","Setup Gin router with middleware (CORS, logging, recovery, request ID)","Backend","Week 1","P0","Backlog","","","BE-003",""
"BE-005","Cloud Backend: JWT RS256 implementation","Implement JWT authentication (generate keys, sign tokens, verify tokens)","Backend","Week 1","P0","Backlog","","","",""
"BE-006","Cloud Backend: Auth endpoints","Implement login, logout, refresh, me endpoints","Backend","Week 1-2","P0","Backlog","","","BE-005",""
"BE-007","Cloud Backend: Auth middleware","Implement auth middleware (extract JWT, validate, inject user context)","Backend","Week 2","P0","Backlog","","","BE-005",""
"BE-008","Cloud Backend: Location management API","Implement location CRUD endpoints (GET, POST, PATCH, deactivate)","Backend","Week 2","P0","Backlog","","","BE-004",""
"BE-009","Cloud Backend: Rate config API","Implement rate config endpoints with versioning","Backend","Week 2","P0","Backlog","","","BE-004",""
"BE-010","Cloud Backend: Shift config API","Implement shift config endpoints with versioning","Backend","Week 2","P0","Backlog","","","BE-004",""
"BE-011","Cloud Backend: Gate management API","Implement gate registration and config endpoints","Backend","Week 2","P0","Backlog","","","BE-004",""
"BE-012","Cloud Backend: Sync API","Implement batch sync endpoint (receive sessions/transactions from server room apps)","Backend","Week 2","P0","Backlog","","","BE-004",""
"BE-013","Cloud Backend: Health check","Implement /health and /health/ready endpoints","Backend","Week 2","P1","Backlog","","","BE-004",""
"BE-014","Cloud Backend: Superadmin bootstrap","Create script to bootstrap initial superadmin user","Backend","Week 2","P1","Backlog","","","BE-006",""
"BE-015","Cloud Backend: Session sync","Implement session creation from server room app sync","Backend","Week 3","P0","Backlog","","","BE-012",""
"BE-016","Cloud Backend: Transaction sync","Implement transaction creation from server room app sync","Backend","Week 4","P0","Backlog","","","BE-012",""
"BE-017","Cloud Backend: Dashboard APIs","Implement all dashboard APIs (gates, sessions, transactions, reports, users, roles)","Backend","Week 5-6","P0","Backlog","","","BE-008;BE-009;BE-010;BE-011",""
"BE-018","Cloud Backend: Batch sync API","Implement batch sync with duplicate detection","Backend","Week 6","P0","Backlog","","","BE-012",""
"BE-019","Cloud Backend: Unit tests","Write unit tests for all handlers (80%+ coverage)","Backend","Week 8","P0","Backlog","","","BE-017",""
"BE-020","Cloud Backend: Integration tests","Write integration tests for all flows","Backend","Week 8","P0","Backlog","","","BE-017",""
"BE-021","Server Room App: Local DB design","Design SQLite schema (gates, configs, sessions, transactions, sync_queue)","Backend","Week 3","P0","Backlog","","","",""
"BE-022","Server Room App: Cloud sync client","Implement HTTP client to poll configs and push data to cloud","Backend","Week 3","P0","Backlog","","","BE-021",""
"BE-023","Server Room App: mDNS discovery","Implement mDNS to discover gate apps on LAN","Backend","Week 3","P0","Backlog","","","",""
"BE-024","Server Room App: HTTP server","Implement HTTP server for gate app communication","Backend","Week 3-4","P0","Backlog","","","BE-021",""
"BE-025","Server Room App: Gate registry","Implement gate registry (track connected gates, last_seen_at)","Backend","Week 4","P0","Backlog","","","BE-024",""
"BE-026","Server Room App: Health check loop","Implement health check (ping each gate every 15s)","Backend","Week 4","P1","Backlog","","","BE-025",""
